	Taak		Termijn		Laatste onderhoud	Volgende onderhoud		Uitgevoerd door 	Opmerkingen + nodige aanpassingen aan onderhoudsplan	Laatste opmerking
	AFROLLER		T							
	olie bijvullen kwartslag onder -- Shell omala 100		1	J	10/01/2026	10/01/2027	Week 03	Steven		
	vervangen  van vulkolanlijsten vouwer cilinder		8	M	12/03/2025	12/11/2025	Week 46	KBA		
	vervangen langsperforatie		1	J	31/10/2018	31/10/2019	Week 44			
	vervangen van snijmessen en tegenmessen langsnijders		1	J	23/11/2020	23/11/2021	Week 48		Mes en tegenmes vervangen positie 14 bovenbouw	25.11.2020 | 11:54
	vervangen kwartslagmes onder		1	J	12/03/2025	12/03/2026	Week 11	KBA	Terug originele geplaatst 19-04-2018	
	vervangen kwartslagmes boven		1	J	12/03/2025	12/03/2026	Week 11	KBA	Terug originele geplaatst 19-04-2018	
	stofzuigen  - uitblazen van alle elektriciteitskasten van de vouwer		6	M	18/12/2025	18/06/2026	Week 25	Ploeg Koen		
	SNIJSTRAAT - STACKER - BINDSTRAAT - ROBOT		T			???				
	onderhoud  automatische  bindmachines 		1	J	05/12/2025	05/12/2026	Week 49	kentie		23.09.2025 | 09:09
	papierresten verwijderen aan de snijmessen en ondermessen 		7	D	27/08/2025	03/09/2025	Week 36			12.06.2024 | 05:06
	uitblazen snijstraat - stacker - robot - laatste ploeg vd week 		1	M	15/01/2025	15/02/2025	Week 07	Ploeg Mustapha		20.02.2020 | 17:12
	uitblazen en reinigen (lastong) bindmachines		1	M	08/01/2025	08/02/2025	Week 06	Ploeg Koen		17.06.2021 | 08:22
	reinigen + inoliën van de verzetstangen en geleiders van de inlog  stacker onderste korf - elektrische formaatinstelling moet op ja staan !		1	M	08/02/2024	08/03/2024	Week 10	Ploeg Mustapha		17.06.2021 | 08:22
	vervangen van alle luchtfilters pupiters -  kasten -snijstraat -robot stacker enz		3	M	04/07/2025	04/10/2025	Week 40	Kristof 	filter aan de hoeken snijstraat uitgeblazen nr SA6091 17712 2347	08.12.2020 | 10:24
	uitblazen van alle elektriciteitskasten van inlog - snijstraat -stacker - robot enz		4	M	08/01/2025	08/05/2025	Week 19	Ploeg Koen		
